Order	Model	Interval	Threshold	Precision	Recall	Auc	Auc >= 0.70
random	voter	300	0.4	0.43636363636363634	0.48	0.48	NO
random	voter	300	0.5	0.43636363636363634	0.48	0.48	NO
random	voter	300	0.6	0.43636363636363634	0.48	0.48	NO
random	voter	300	0.7	0.43636363636363634	0.48	0.48	NO
random	voter	300	0.8	0.43636363636363634	0.48	0.48	NO
random	voter	300	0.9	0.43636363636363634	0.48	0.48	NO
random	deffuant_p	300	0.05	0.6220588235294118	0.7371428571428571	0.7371428571428572	YES
random	deffuant_p	300	0.1	0.6220588235294118	0.7371428571428571	0.7371428571428572	YES
random	deffuant_p	300	0.2	0.6220588235294118	0.7371428571428571	0.7371428571428572	YES
random	deffuant_p	300	0.3	0.6220588235294118	0.7371428571428571	0.7371428571428572	YES
random	deffuant_p	300	0.4	0.5884146341463414	0.6657142857142857	0.6657142857142857	NO
random	deffuant_p	300	0.5	0.5976190476190476	0.6757142857142857	0.6757142857142857	NO
random	deffuant_p	300	0.6	0.6079734219269103	0.6857142857142857	0.6857142857142857	NO
random	deffuant_p	300	0.7	0.5699300699300699	0.6142857142857143	0.6142857142857143	NO
random	deffuant_p	300	0.8	0.5365612648221344	0.5528571428571428	0.5528571428571428	NO
random	deffuant_p	300	0.9	0.5468085106382978	0.5628571428571428	0.5628571428571428	NO
random	hk_0.50_p	300	0.05	0.592885375494071	0.6342857142857142	0.6342857142857142	NO
random	hk_0.50_p	300	0.1	0.5468085106382978	0.5628571428571428	0.5628571428571428	NO
random	hk_0.50_p	300	0.2	0.5468085106382978	0.5628571428571428	0.5628571428571428	NO
random	hk_0.50_p	300	0.3	0.5590277777777778	0.5728571428571428	0.5728571428571428	NO
random	hk_0.50_p	300	0.4	0.5590277777777778	0.5728571428571428	0.5728571428571428	NO
random	hk_0.50_p	300	0.5	0.5590277777777778	0.5728571428571428	0.5728571428571428	NO
random	hk_0.50_p	300	0.6	0.5590277777777778	0.5728571428571428	0.5728571428571428	NO
random	hk_0.50_p	300	0.7	0.5590277777777778	0.5728571428571428	0.5728571428571428	NO
random	hk_0.50_p	300	0.8	0.5590277777777778	0.5728571428571428	0.5728571428571428	NO
random	hk_0.50_p	300	0.9	0.5590277777777778	0.5728571428571428	0.5728571428571428	NO
random	hk_1.0_p	300	0.05	0.6333333333333333	0.7057142857142857	0.7057142857142856	YES
random	hk_1.0_p	300	0.1	0.6333333333333333	0.7057142857142857	0.7057142857142856	YES
random	hk_1.0_p	300	0.2	0.6333333333333333	0.7057142857142857	0.7057142857142856	YES
random	hk_1.0_p	300	0.3	0.6333333333333333	0.7057142857142857	0.7057142857142856	YES
random	hk_1.0_p	300	0.4	0.592885375494071	0.6342857142857142	0.6342857142857142	NO
